x1,x2,y
4.714274484,0.989079229,2
1.661431634,6.846034185,2
1.360533567,3.359866267,2
1.720238195,2.021596703,2
4.959554679,8.563526693,1
3.484147263,8.03281527,1
3.34327224,6.522147367,2
7.956737539,5.537428435,1
7.868822307,5.984847292,1
0.027484159,0.617163237,1
4.748578209,1.993195743,2
0.945874274,0.318107178,1
1.622751812,9.208737838,2
9.418790606,0.877994185,1
1.410768415,0.194512505,1
4.855044303,5.51789902,1
2.098627402,7.977998501,2
0.65191009,3.405027924,1
9.224360028,7.100533149,1
0.765152114,4.943764672,1
6.010261582,9.164952055,1
6.116787358,0.996967307,1
7.538943378,6.028386447,1
9.93948127,4.780633068,1
8.624333037,9.573265336,1
0.783761658,2.73084373,1
5.216457383,6.069034575,1
4.415864196,1.186160395,2
3.80381738,6.024286067,2
2.873106938,3.063899595,2
8.064338391,2.706131969,1
7.498570469,2.54775537,1
7.164910469,8.573678386,1
1.657409747,8.017324474,2
0.175979722,8.401144649,1
5.330332595,1.212615716,1
3.834602541,2.09854933,2
7.352741995,4.890871851,1
4.727010906,6.967198693,1
9.173912491,7.198534875,1
2.798230808,8.91844497,2
7.991028269,8.793899131,1
9.542626315,0.677201615,1
8.979922882,3.765274554,1
4.175885441,7.89159611,1
2.42063567,6.266468761,2
0.903586883,3.414174897,1
2.97049488,5.928198034,2
3.732766891,0.861667041,2
8.083640899,7.060896022,1
8.473610443,4.978892876,1
5.353512309,2.61343078,1
7.22135428,2.614717203,1
0.896709523,1.288085855,1
0.417668994,3.194095738,1
0.673918928,5.014287748,1
8.633777966,0.241594747,1
9.966194186,9.531169914,1
5.312723743,2.623394199,1
0.633609082,1.206001974,1
8.481174729,0.930686405,1
2.903159657,6.517640489,2
0.661432146,5.720978177,2
9.70508369,2.666730289,1
9.143014364,0.158655478,1
0.531435366,8.086006587,2
9.095744636,0.546397417,1
9.738033142,9.500264504,1
8.859734581,2.945513976,1
6.162072635,3.019486508,1
3.843548399,2.266066215,2
9.200042291,5.29522728,1
5.322560814,9.637156935,1
0.403994875,2.095637774,1
0.370269212,7.955333971,2
6.159684979,7.95040259,1
2.269808852,1.609492679,2
6.34619127,7.188659817,1
8.018701566,6.645760629,1
2.5373228,7.166904488,2
0.833059928,4.160935159,2
2.462707941,3.944473029,2
2.61605645,4.122933215,2
3.925319385,4.062479478,2
7.718516247,4.570195699,1
8.504063691,9.544018341,1
3.600257545,7.610481469,2
7.932470854,9.036743435,1
3.391892263,4.908055439,2
4.234755428,6.198952416,1
9.362966391,0.010293071,1
1.877367244,7.486094716,2
6.122294209,3.770279955,1
2.949027509,8.730428954,2
6.695037277,8.057287397,1
1.936046315,2.468184727,2
2.280579471,9.892500069,2
9.054462351,0.4250978,1
6.097644507,1.220059201,1
8.171922205,0.58386927,1
